,Accuracy,Precision,Recall,F1-Score
Basic_CNN,0.99225,0.9907128514056225,0.993705941591138,0.9922071392659628
Zhang_CNN,0.99925,0.9997479838709677,0.9987411883182276,0.9992443324937028
VGG16_FineTuned,0.9995,0.9992450931051837,0.9997482376636455,0.9994966020639315
