,Accuracy,Precision,Recall,F1-Score
Basic_CNN,0.8985985160758451,0.9669669669669669,0.9147727272727273,0.9401459854014599
Zhang_CNN,0.9925803792250618,0.9990467111534795,0.9924242424242424,0.9957244655581948
VGG16_FineTuned,0.9950535861500412,0.9990494296577946,0.9952651515151515,0.9971537001897534
