accuracy,loss,val_accuracy,val_loss,learning_rate
0.9438750147819519,0.6270540356636047,0.5578749775886536,0.4339199364185333,0.0010000000474974513
0.9514999985694885,0.10322234779596329,0.8842499852180481,0.20820572972297668,0.0010000000474974513
0.9609687328338623,0.0810229629278183,0.9772499799728394,0.06695006787776947,0.0010000000474974513
0.9700937271118164,0.06942526996135712,0.9098749756813049,0.28342393040657043,0.0010000000474974513
0.9752812385559082,0.058134254068136215,0.909250020980835,0.6890383362770081,0.0010000000474974513
0.9845625162124634,0.034453172236680984,0.9581249952316284,0.4716114103794098,0.0005000000237487257
0.9867500066757202,0.029888443648815155,0.981124997138977,0.11902270466089249,0.0005000000237487257
0.9906562566757202,0.02177688665688038,0.9913750290870667,0.05058033764362335,0.0002500000118743628
0.9911249876022339,0.018600590527057648,0.9871249794960022,0.08510930091142654,0.0002500000118743628
0.9906874895095825,0.01740082912147045,0.9292500019073486,1.6328792572021484,0.0002500000118743628
0.9929375052452087,0.013533721677958965,0.9934999942779541,0.03361046686768532,0.0001250000059371814
0.9938125014305115,0.011773364618420601,0.987375020980835,0.04738154634833336,0.0001250000059371814
0.9953437447547913,0.01158885471522808,0.9921249747276306,0.03263125568628311,0.0001250000059371814
0.9959062337875366,0.010891478508710861,0.9931250214576721,0.03749878704547882,0.0001250000059371814
0.9959999918937683,0.011856245808303356,0.9929999709129333,0.03648459166288376,0.0001250000059371814
0.9965937733650208,0.008821305818855762,0.9933750033378601,0.035220008343458176,6.25000029685907e-05
0.9965937733650208,0.007418033666908741,0.9940000176429749,0.03663884848356247,6.25000029685907e-05
0.9968125224113464,0.007447035051882267,0.9946249723434448,0.0360858328640461,3.125000148429535e-05
