accuracy,loss,val_accuracy,val_loss,learning_rate
0.8712932467460632,0.5961216688156128,0.13107997179031372,2.7989089488983154,0.0010000000474974513
0.936779260635376,0.17702309787273407,0.9018961191177368,0.2883085310459137,0.0010000000474974513
0.969316303730011,0.08703207969665527,0.12943115830421448,2.7970056533813477,0.0010000000474974513
0.9709637761116028,0.08521854877471924,0.7246496081352234,0.6367206573486328,0.0010000000474974513
0.9835255146026611,0.04941648989915848,0.9332234263420105,0.2543220818042755,0.0005000000237487257
0.9876441359519958,0.040114205330610275,0.4608408808708191,4.918962478637695,0.0005000000237487257
0.9915568232536316,0.029751578345894814,0.12943115830421448,16.095733642578125,0.0005000000237487257
0.9919686913490295,0.026487629860639572,0.13437756896018982,8.49933910369873,0.0002500000118743628
0.9934102296829224,0.020260540768504143,0.21022258698940277,5.114133358001709,0.0002500000118743628
0.9954695105552673,0.013688266277313232,0.9554823040962219,0.12996332347393036,0.0001250000059371814
0.9962932467460632,0.013659610413014889,0.8969497084617615,0.29991665482521057,0.0001250000059371814
0.9975288510322571,0.010004340671002865,0.12943115830421448,33.5241584777832,0.0001250000059371814
0.9975288510322571,0.008346661925315857,0.9497114419937134,0.12723395228385925,6.25000029685907e-05
0.9971169829368591,0.007747101131826639,0.9818631410598755,0.0504329577088356,6.25000029685907e-05
0.9985584616661072,0.0061842710711061954,0.9802143573760986,0.05332929641008377,6.25000029685907e-05
0.9987643957138062,0.007315537426620722,0.8507831692695618,0.5522717237472534,6.25000029685907e-05
0.9987643957138062,0.0051810224540531635,0.9802143573760986,0.058418501168489456,3.125000148429535e-05
0.9985584616661072,0.006616208236664534,0.9868095517158508,0.03965205326676369,3.125000148429535e-05
0.9991762638092041,0.00428785290569067,0.9917559623718262,0.02655811980366707,3.125000148429535e-05
0.997734785079956,0.006583696696907282,0.9925803542137146,0.023807184770703316,3.125000148429535e-05
