accuracy,loss,val_accuracy,val_loss,learning_rate
0.9955624938011169,0.020009664818644524,0.9957500100135803,0.01637808233499527,9.999999747378752e-05
0.9985937476158142,0.006381418090313673,0.9993749856948853,0.0033653005957603455,9.999999747378752e-05
0.9987187385559082,0.005481782369315624,0.9958750009536743,0.014296051114797592,9.999999747378752e-05
0.9989062547683716,0.004696485586464405,0.9980000257492065,0.008621018379926682,9.999999747378752e-05
0.999750018119812,0.0012941048480570316,0.999625027179718,0.0019601790700107813,4.999999873689376e-05
0.9998437762260437,0.0007767709903419018,0.9994999766349792,0.0016596056520938873,4.999999873689376e-05
0.9999374747276306,0.0005537518882192671,0.9993749856948853,0.0024331246968358755,4.999999873689376e-05
0.999625027179718,0.0026851005386561155,0.9987499713897705,0.003607453079894185,4.999999873689376e-05
0.9998437762260437,0.0007932172738946974,0.9994999766349792,0.0023899399675428867,2.499999936844688e-05
0.9999374747276306,0.00037546406383626163,0.9991250038146973,0.0024037736002355814,2.499999936844688e-05
0.9999374747276306,0.00025573596940375865,0.9993749856948853,0.0023417938500642776,1.249999968422344e-05
